Article Title,Author,Journal Title,International,Subjects,Keywords,text
Abstracts in French and Spanish.,,International Political Science Review,0,GLOBALIZATION; DICTATORSHIP; PRESSURE groups; CANADA; MEDICAL care -- Canada,,"The article presents abstracts of the articles in the current edition of the journal in French and Spanish, including articles on globalization, group strength within a dictatorship, and the Canadian health system."
Abstracts in French and Spanish.,,International Political Science Review,0,"POLITICAL science; WILLIAMS, Laron K.; MUKHERJEE, Nisha; GLEAVE, Eric",,"Abstracts are presented for featured articles within the March 2012 issue translated into Spanish and French, including ""Pick your poison: economic crises, international monetary fund loans and leader survival,"" by Laron K. Williams, ""Globalization and human well-being,"" by Nisha Mukherjee and Jonathan Kriekhaus, and ""Trust in Uzbekistan,"" by Eric Gleave, Beth Kolko and Blaine Robbins."
Abstracts in French and Spanish.,,International Political Science Review,0,POLITICAL parties; DEMOCRACY; AFRICA,,"The article presents French and Spanish abstracts on topics that include political parties in Francophone Africa, problems facing democratic states, and an index that measures the quality of democracy in a given nation."
Abstracts in French and Spanish.,,International Political Science Review,0,POLITICAL science; CABINET officers; FEDERAL government; RIGHT to self-determination,,"This section presents abstracts of articles published in this issue of the ""International Political Science Review,"" in French and Spanish languages, including one on cabinet ministers, one on ethnofederalism and one on separatism."
Abstracts in French and Spanish.,,Social & Economic Studies,0,,,
Abstracts in French and Spanish.,,International Political Science Review,0,POLITICAL science; REGIME change; PRESIDENTS; HAPPINESS; LATIN America; AFRICAN politics & government -- 1960-,,"A section of abstracts on political science is presented on topics such as the relationship between ideological orientation and happiness in life, the impact of diamonds in regime changes in Africa, and Latin American presidencies."
Abstracts in French and Spanish.,,International Political Science Review,0,STATE formation; DEMOCRACY; POLITICAL science; GENETICALLY modified foods,,"Abstracts in French and Spanish for the articles in this issue, including on state-building in Zimbabwe and Botswana, on support of and satisfaction with democratic institutions in Africa, and on public opinion about genetically modified foods in the European Union."
ABSTRACTS IN SLOVENIAN LANGUAGE - POVZETKI ČLANKOV V SLOVENSKEM JEZIKU.,,Journal of Comparative Politics,0,COMPARATIVE government; POLITICAL science; POLITICAL systems; INTERNATIONAL relations; YUGOSLAVIA,,"The article presents abstracts on topics related to comparative politics which include the legislative process in the Italian second republic, the process of economic consolidation in countries of former Yugoslavia, and the institutional profiles of ministries of foreign affairs."
Abstracts in Turkish.,,All Azimuth: A Journal of Foreign Policy & Peace,1,,,
ABSTRACTS OF ENGLISH LANGUAGE THESES ON MOROCCO 2012-2013.,,Maghreb Review,1,MOROCCO; INTERNET & society; AGRICULTURE -- Morocco,,"The article presents abstracts of English-language theses published in 2012 and 2013 on topics related to Morocco, including limestones from south-west Morocco, crop rotations in Moroccan dryland agriculture, and the use of the Internet in Moroccan social movements."
ABSTRACTS OF ENGLISH LANGUAGE THESES ON MOROCCO 2015 AND 2016.,,Maghreb Review,1,"HISTORY; MAGHREB (Africa, North); MOROCCO",,
"ABSTRACTS OF ENGLISH LANGUAGE THESES ON MOROCCO, 2014.",,Maghreb Review,1,MOROCCO; MOROCCO in literature; ARAB countries -- Foreign relations -- Europe,,"Several abstracts are presented of 2014 English language theses on Morocco with topics, including Moroccan film, the depiction of Morocco in the literature of the 20th century American writer Paul Bowles and the European Commission's relations with Morocco and Algeria on climate change policy."
"ABSTRACTS OF PH.D THESES ON ALGERIA PRESENTED AT BRITISH UNIVERSITIES, 2002 TO 2017.",,Maghreb Review,1,ECONOMIC globalization; HISTORY; EMIGRATION & immigration; NOISE pollution; ENGLISH language -- 20th century; ALGERIA,,
"ABSTRACTS OF PH.D THESES ON LIBYA PRESENTED AT BRITISH UNIVERSITIES, 2013 TO 2015.",,Maghreb Review,1,LAND use; CITIES & towns; HISTORY; ISLAM; LAND degradation; AUDITING; MARICULTURE; RELIGIOUS aspects,,
abstracts.,,Critique Internationale,1,POLITICAL science; ECONOMICS; FACTIONALISM (Politics); ELITE (Social sciences); TUNISIA; BAHRAIN,,"The article presents abstracts of papers on topics about politics and the economy including ""The Social Question on the Fringes of the Arab Uprisings: Lebanese and Maroccan Lessons,"" ""Uprisings and Factionalisms Among the Authoritarian Elites of Egypt and Bahrain"" and ""It's the Economy, Stupid! Analyzing the Uprisings in Bahrain, Egypt and Tunisia."""
abstracts.,,Critique Internationale,1,CARBON offsetting; FRANCE; CLIMATE change; SOCIAL adjustment,,"The article presents abstracts of the articles appeared within the issue on topics including history of the creation of a carbon market, adaptation to climate change in France and the effects of climate change."
abstracts.,,Critique Internationale,1,INTERNATIONAL relations; DIASPORA; JEWS; TERRORISM,,"This section presents abstracts on topics related to international relations including the political applications of diaspora, the return of Jews to Morocco, and the dialectic of terrorism in India."
abstracts.,,Critique Internationale,1,PATRIOTISM; JUSTICE; POLITICAL science; NUCLEAR nonproliferation -- Government policy; CANADIAN national characteristics,,"The article presents abstracts of articles on patriotism, justice, and politics which include ""Grassroots Patriotism: Reconstructing Canada's National Identity Along the 'Highway of Heroes',"" by Tracey Raney, ""A Convoluted Trajectory: Patriotism and Traditional Festivals in Reform Era China,"" by He Xuebing and Jean-Louis Rocca, and ""The Transformations of French Nuclear Export Policy 1974-1976: A Triple Double Game,"" by Florent Pouponneau."
abstracts.,,Critique Internationale,1,COMBATANTS & noncombatants (International law); ACTIVISTS; TURKEY; PARTIYA Karkeren Kurdistane; GENDER; WOMEN -- Peru,,"The article presents abstracts on gender issues which include the construction of gender relations in the Kurdish Workers' Party (PKK) army of Turkey, participation of women as combatants in revolutionary struggles in Peru, and evolution of incarcerated Palestinian women activists in Israel."
abstracts.,,Critique Internationale,1,ISLAM; IRAN; FEMINISM & Islam; WOMEN,,"This section presents abstracts of articles related to women in Islamic nations, including Islamic feminism in Iran, the issue of religious domain among Saudi Arabian women, and Islamic feminism in Morocco."
abstracts.,,Critique Internationale,1,ECONOMIC development; INTERNATIONAL relations; ECONOMIC policy; BULGARIA; GERMANY; MOROCCO; TUNISIA,,"Abstracts of articles discussed within the issue are presented, including ""From Transfers to Learning: Reflections on the Basis of New Modes for Local Economic Development in Bulgaria,"" by Thierry Delpeuch and Margarita Vassileva, ""Asymmetric Legitimacies and Organizational Hybridizations Faced With the Importation of Foreign Practices: The Water Sector in Germany,"" by Murielle Coeurdray and Thomas Blanchet and ""International Developmentalist Configurations in Morocco and Tunisia: Limited Impact Policy Transfers,"" by Amin Allal."
abstracts.,,Critique Internationale,1,ACTIVISM; STRIKES & lockouts; INTERNATIONAL relations; TEXTILE workers,,"The article presents abstracts on topics related to politics and international relations which include the emergence of the Katarist movement in Bolivia in the 1970s, the examination of textile factory occupations by workers in Argentina and a look at the pro-Telangana movement in India."
abstracts.,,Critique Internationale,1,RACE; POLITICAL debates; TREATIES; MULTICULTURALISM; EUROPEAN Union,,"The article presents abstracts of articles in the issue, which include the resurgence of racial discourse in South African political debates in the light of the 2009 election results, the potential changes introduced by the Lisbon Treaty into the foreign policy of the European Union (EU), and multicultural reform in Latin America and the principal analyses of the Indian movement in the same region."
abstracts.,,Critique Internationale,1,"DEMONSTRATIONS (Collective behavior); POLITICAL opposition; RUSSIA; ASSOCIATIONS, institutions, etc.",,"The article presents abstracts of studies published within the issue, including ""Associations and Parties in Russia: What's at Stake in the Game of Differentiation,"" by Françoise Daucé, ""Opposition through Law: The Popularization and Political Uses of the Law of Co-Ownership in Post-Communist Russia,"" by Hélène Richard, and ""Young Protester Movements in Russia: Opposition in and by the Street (2005-2010),"" by Tatyana Shukan."
abstracts.,,Critique Internationale,1,POWER (Social sciences); WOMEN'S studies,,
abstracts.,,Critique Internationale,1,COLLECTIVE bargaining; LABOR unions; SOUTH Africa; MINERAL industries; SPAIN,,"The article presents abstracts on political and social issues around the world which include the failure of labor conflict negotiation in South African mines, a collision between labor unions and social movements in Spain, and autonomous collective negotiations in China."
abstracts.,,Critique Internationale,1,INDIGENOUS peoples; ETHNIC groups; POPULATION; ANTHROPOLOGY,,"The article presents abstracts on studies on anthropology including the international negotiations as a field site for anthropological studies, another on how representatives of indigenous people use the United Nations (UN) to construct the principles for which they may be recognized as rights bearing subjects and how the state and the World Bank govern population movements in Mumbai."
abstracts.,,Politique Étrangère,1,DRUG laws & regulations; WAR; AFGHANISTAN; NORTH Atlantic Treaty Organization; PREVENTION of drug trafficking; STRATEGIC communication,,"The article presents abstracts of various articles which include ""Drug Control Reform(s): South America at the Cutting Edge"" by Charles Capela, ""The Afghan Strategic Communication Challenge"" by Mark Laity, and ""Catalonia's Path to Auto-determination"" by Carles Boix and J.C. Major."
abstracts.,,Critique Internationale,1,DELIBERATIVE democracy; BURUNDI -- Politics & government,,"The article presents abstracts on governmental topics which include the relationship between discursive moderation and advocacy, the collective action in Burundi, and the La Via Campesina international peasant movement."
abstracts.,,Retraite et Societe,1,RETIREMENT; PENSIONS; FAMILY policy; GERMANY,,"The article presents abstracts on retirement topics which include the relationship of family to the pension policy in Germany, impact of the family policy system theory on pensions and incentives of family pension plans."
abstracts.,,Critique Internationale,1,ECONOMIC development; WEALTH management services; FINANCIAL institutions,,"The article presents abstracts on economic topics which include the economic socialization in Argentina from 2001-2003, wealth in India and the domestic economy in French financial institutions."
abstracts.,,Politique Étrangère,1,INTERNATIONAL relations; EUROPEAN Union,,"The article presents abstracts of several articles including ""The Two-State Solution is Still Possible"" by Shaul Arieli, ""Asia-Pacific: China's Foreign Policy Priority"" by Alice Ekman, and ""The European Union to Ukraine's Rescue"" by Dominik Tolksdorf published in the same issue."
abstracts.,,Politique Étrangère,1,AGRICULTURAL policy; INSURGENCY; TERRORISM; QAIDA (Organization),,"The article presents abstracts on political and agricultural topics which include the Common Agricultural Policy (CAP) in Poland, the defeat for Al-Qaeda organization in Arab countries and the counter-insurgency campaign in Afghanistan."
abstracts.,,Critique Internationale,1,"TERRORISM; HOMOLOGY (Biology); ELECTRIC conductivity; FIELD theory (Social psychology); FUKUSHIMA Nuclear Accident, Fukushima, Japan, 2011",,"The article presents abstracts of articles on international issues which include ""Homology and International Conductivity: The Social State Grapples with the OECD, the EU and Governments,"" by Vincent Gayon, ""Experts, States and Field Theory: Learning from the Peculiar Case of Terrorism Expertise,"" by Lisa Stampnitzky, and ""Fukushima, Crisis of a Model of Governance,"" by Guibourg Delamotte."
abstracts.,,Critique Internationale,1,LABOR disputes; LABOR unions; STRIKES & lockouts,,"This section presents abstracts of articles published within the issue including the emerging labor dispute within the retail company Walmart, the origin of labor organization campaigns in Central America, and activist expertise on the use of strikes in France's service sector."
abstracts.,,Critique Internationale,1,INTERNATIONAL cooperation; SMALL states; UNITED Nations. Security Council,,"The article presents abstracts on political topics which include multilateralism, small state identity, and Security Council's negotiations."
abstracts.,,Politique Étrangère,1,"PEACE; ECONOMIC conditions in Brazil; KIRCHNER, Nestor, 1950-2010",,"The abstracts of articles published in this journal are presented including an assessment of Brazil's economy and political condition, the political movement started by Nester and Cristina Kirchner in Argentina, and the peace negotiation between FARC guerillas and the Columbian state."
abstracts.,,Critique Internationale,1,INTERNATIONAL cooperation; INTERNATIONAL relations; CHILD protection services; CHILD care,,"The article presents abstracts on international issues including the emergence of child protection reform networks in the 20th century, role of the League of Nations' Financial and Economic Organization (FEO) as a vector of new expert network development, and the 2009 Copenhagen Conference."
abstracts.,,Critique Internationale,1,INTERNATIONAL agencies; EDUCATIONAL change; GOVERNMENT policy; PERU; SEX preselection; MINERAL industries; BEST practices,,
abstracts.,,Politique Étrangère,1,CRIMINAL justice system; TRIALS (Genocide); CRIMES against humanity; RWANDA,,"The article presents abstracts on political topics which include the modern principle of international criminal justice, establishment of hold trials during the Yugoslav wars in the 1990s and need of complete justice for genocide in Rwanda."
abstracts.,,Politique Étrangère,1,UNIVERSALISM (Political science); INTERNATIONAL finance; INTERNATIONAL trade disputes,,
abstracts.,,Critique Internationale,1,NEIGHBORHOODS; GUYANA; CASABLANCA (Morocco); MOROCCO; HIGHER education,,"The article presents abstracts on politicization issues which include the politicization and colonial hierarchies of French Guyana districts of Amerindians and Maroons in St-Paul from 1946-2000, an examination on the Turkish Case of the relations between politicization and higher education from 1971-1980, and an examination of associative action of neighborhood associations in Casablanca, Morocco that reflect mirror effects of politicization."
abstracts.,,Critique Internationale,1,NUCLEAR energy; NORTH Korea; SOUTH Korea; POPULAR culture; KOREA (North)-Korea (South) relations,,"Abstracts of studies published within the issue are presented, including ""Negotiating With Nuclear North Korea,"" ""North/South Confrontations beyond the Peninsula: the Koreans of Kazakhstan"" and ""The Axis of Vaudeville: Images of North Korea in South Korean Pop Culture."""
Abstracts.,,Global Environmental Politics,0,ENVIRONMENTAL policy; NONGOVERNMENTAL organizations; ENVIRONMENTAL justice; TRANSPORTATION & the environment,,"The article presents abstracts on global environmental politics including environmental justice, non-governmental organizations (NGOs), and the environmental impact of transportation."
